Parte 1,,,
RESISTENCIA ,R,67,ohmios
CAPACITANCIA,C,194,nanoF
,,,
,,,
frec resonancia,f R,4.011,H
,,,
Parte 2,,,
,w1,f1 = 2728,
,w2,f2 = 7174,
factor calidad,Q,,
,,,
,,,
,,,
,L,,
,,,
W2 CALCULADO,FRECUENCIA,OMEGA,VOLTAJE
,7174,"11268,89285","1,52"
,6955,"10924,88845","1,52"
,6746,"10596,59202","1,56"
,6516,"10235,30887","1,6"
,6314,"9918,008007","1,64"
,6090,"9566,14963","1,72"
,5895,"9259,844346","1,76"
,5688,"8934,689507","1,8"
,4988,"7835,132078","1,96"
,4488,"7049,733915","2,08"
FRECUENCIA RESONANCIA,4182,"6569,070239","2,12"
,4000,"6283,185307","2,14"
,3880,"6094,689748","2,12"
,3581,"5625,021646",2
,3392,"5328,14114","1,92"
,3271,"5138,074785","1,84"
,3040,"4775,220833","1,68"
W1 CALCULADO,2922,"4589,866867","1,56"
,2728,"4285,132379","1,52"
